DS_CAST_NO,DS_DS_NO,HM Wt,HM Temp,HM S,Aim S,Act Mg,Act Lime,ADS
T99338,1,169.0,1379.0,0.028,0.012,74,288,0.015
T96486,1,170.7,1387.0,0.047,0.012,91,325,0.021
T96535,1,168.3,1361.0,0.035,0.012,82,394,0.025
T93747,2,178.2,1351.0,0.055,0.012,80,333,0.019
T96116,1,172.0,1379.0,0.047,0.012,67,225,0.014
T96864,1,161.8,1356.0,0.051,0.012,47,355,0.016
T93327,2,162.5,,0.024,0.012,46,271,0.011
T93911,1,164.5,1367.0,0.027,0.012,59,223,0.013
T98099,1,162.5,,0.048,0.012,97,338,0.024
T97019,1,167.6,1389.0,0.029,0.012,58,314,0.013
T92899,2,157.1,1401.0,0.045,0.012,82,311,0.019
T91161,1,174.7,1380.0,0.055,0.012,74,328,0.019
T94005,1,165.3,1377.0,0.06,0.012,80,294,0.021
T91502,1,174.5,1380.0,0.027,0.012,74,334,0.017
T97420,2,156.7,1359.0,0.057,0.012,54,360,0.016
T96864,2,156.7,1341.0,0.038,0.012,85,308,0.02
T91698,2,172.6,1385.0,0.054,0.012,86,299,0.019
T91197,1,160.5,1383.0,0.027,0.012,79,278,0.017
T98849,1,158.0,1406.0,0.046,0.012,80,343,0.019
T95488,1,173.1,1391.0,0.062,0.012,75,376,0.021
T95282,1,159.3,1359.0,0.025,0.012,66,307,0.016
T97184,1,164.9,1342.0,0.061,0.012,78,343,0.022
T93047,2,161.2,1379.0,0.043,0.012,72,293,0.018
T98125,1,170.3,1371.0,0.061,0.012,62,307,0.016
T98734,1,166.6,1356.0,0.068,0.012,76,384,0.023
T98858,2,171.4,1384.0,0.028,0.012,80,290,0.016
T96463,2,156.6,,0.054,0.012,72,356,0.02
T91206,1,166.7,1355.0,0.032,0.012,73,293,0.016
T96530,2,165.6,1441.0,0.027,0.012,64,224,0.012
T99838,2,159.8,1345.0,0.051,0.012,68,369,0.021
T93747,2,157.8,1381.0,0.025,0.012,62,392,0.018
T92663,1,164.4,1395.0,0.043,0.012,58,298,0.012
T98869,2,163.0,1391.0,0.052,0.012,57,377,0.017
T95859,1,173.3,1387.0,0.045,0.012,72,271,0.018
T94748,2,170.8,1381.0,0.055,0.012,80,383,0.02
T93327,1,160.2,1370.0,0.06,0.012,72,303,0.017
T91502,1,163.2,1406.0,0.064,0.012,81,286,0.022
T96618,1,168.8,1405.0,0.048,0.012,69,269,0.017
T92291,2,169.6,1395.0,0.034,0.012,77,403,0.021
T94073,2,173.3,1410.0,0.045,0.012,77,319,0.017
T94099,2,164.6,1394.0,0.039,0.012,69,383,0.018
T93731,1,166.1,1362.0,0.031,0.012,45,310,0.008
T95282,2,152.5,1353.0,0.046,0.012,74,317,0.021
T92685,2,157.2,1379.0,0.021,0.012,59,264,0.013
T92899,1,171.4,1377.0,0.05,0.012,65,398,0.019
T94510,2,157.4,1382.0,0.061,0.012,90,297,0.021
T99154,1,153.3,1408.0,0.07,0.012,76,342,0.021
T97736,2,170.4,1361.0,0.066,0.012,63,252,0.016
T95413,1,162.2,,0.024,0.012,75,308,0.016
T92306,1,159.4,1377.0,0.028,0.012,68,335,0.019
T96311,2,154.6,1366.0,0.027,0.012,59,307,0.012
T94581,1,154.7,1324.0,0.048,0.012,62,291,0.016
T96249,2,161.9,1358.0,0.022,0.012,78,208,0.015
T96056,2,164.0,1345.0,0.067,0.012,72,327,0.018
T95737,2,173.7,1404.0,0.023,0.012,54,316,0.014
T94005,2,164.1,1349.0,0.04,0.012,75,264,0.016
T98035,1,162.8,1369.0,0.065,0.012,66,332,0.019
T97910,1,163.0,1371.0,0.067,0.012,66,381,0.021
T94763,1,149.2,1382.0,0.043,0.012,81,259,0.015
T97938,2,161.6,,0.044,0.012,79,234,0.017
T92059,2,169.4,1378.0,0.052,0.012,71,242,0.013
T93695,1,165.6,1348.0,0.04,0.012,78,307,0.019
T96311,1,170.4,1363.0,0.036,0.012,68,273,0.015
T94157,2,172.6,,0.057,0.012,63,374,0.016
T92585,2,153.5,1379.0,0.05,0.012,45,267,0.01
T91854,2,160.4,1351.0,0.044,0.012,80,331,0.023
T93558,1,172.0,1404.0,0.025,0.012,81,273,0.017
T91161,2,165.7,1321.0,0.023,0.012,84,301,0.02
T94561,1,164.0,,0.046,0.012,60,271,0.013
T92484,2,172.2,1376.0,0.051,0.012,68,343,0.017
T99684,1,159.5,1362.0,0.053,0.012,52,346,0.014
T92853,2,159.9,1384.0,0.065,0.012,76,348,0.021
T93811,1,159.4,1407.0,0.061,0.012,68,305,0.016
T92757,1,155.7,1417.0,0.027,0.012,69,230,0.015
T96450,1,163.4,1370.0,0.06,0.012,92,283,0.023
T97585,2,166.3,1320.0,0.054,0.012,72,408,0.021
T98392,1,157.7,1368.0,0.061,0.012,88,309,0.022
T92184,1,164.2,,0.062,0.012,75,300,0.019
T99004,2,160.8,1386.0,0.037,0.012,74,387,0.02
T92585,1,164.5,1360.0,0.033,0.012,52,322,0.015
T96864,1,175.1,1342.0,0.048,0.012,60,309,0.018
T93790,2,165.6,1357.0,0.035,0.012,56,343,0.014
T92663,1,165.7,1404.0,0.037,0.012,73,395,0.022
T98392,2,179.3,1373.0,0.023,0.012,43,264,0.008
T95282,1,161.4,,0.07,0.012,94,255,0.019
T97938,2,169.3,1360.0,0.035,0.012,73,288,0.017
T97863,1,161.3,1399.0,0.059,0.012,54,321,0.014
T95389,1,170.5,1348.0,0.07,0.012,66,345,0.019
T99164,1,158.7,1351.0,0.068,0.012,87,385,0.021
T93062,2,162.7,1404.0,0.052,0.012,69,287,0.017
T93931,1,161.1,1403.0,0.047,0.012,62,296,0.018
T92853,1,157.7,1322.0,0.035,0.012,74,378,0.018
T99684,2,150.1,1395.0,0.063,0.012,68,336,0.02
T99792,2,167.9,1337.0,0.037,0.012,73,305,0.018
T93047,2,160.5,1397.0,0.025,0.012,64,310,0.014
T97396,1,163.1,1396.0,0.035,0.012,70,388,0.02
T96592,1,164.1,1409.0,0.036,0.012,73,454,0.022
T96249,1,154.7,1413.0,0.056,0.012,77,401,0.021
T96311,2,162.2,1376.0,0.028,0.012,81,325,0.017
T99226,2,152.5,1364.0,0.036,0.012,56,338,0.014
T96618,1,161.8,1369.0,0.024,0.012,57,365,0.013
T91663,1,175.5,1367.0,0.062,0.012,59,247,0.014
T92930,2,161.2,1364.0,0.056,0.012,95,306,0.025
T98858,2,157.0,1365.0,0.042,0.012,56,287,0.014
T92585,2,161.6,1398.0,0.042,0.012,78,338,0.02
T98994,1,176.0,1338.0,0.028,0.012,60,261,0.015
T97776,2,161.9,1397.0,0.039,0.012,68,408,0.016
T99529,2,154.2,1370.0,0.065,0.012,70,332,0.019
T96191,2,152.2,1333.0,0.027,0.012,43,302,0.012
T93062,2,162.2,1385.0,0.058,0.012,86,312,0.021
T92734,1,170.7,1331.0,0.022,0.012,78,358,0.018
T96578,2,168.1,1372.0,0.036,0.012,73,249,0.014
T96116,1,172.7,1423.0,0.062,0.012,80,280,0.02
T92484,1,169.4,1359.0,0.042,0.012,55,359,0.014
T94696,2,165.1,,0.055,0.012,56,286,0.016
T96056,2,146.5,1390.0,0.025,0.012,70,376,0.021
T91663,1,174.7,1386.0,0.054,0.012,75,310,0.018
T91197,2,154.8,1386.0,0.061,0.012,50,311,0.014
T96530,1,181.2,1359.0,0.06,0.012,85,292,0.019
T93454,2,159.6,1382.0,0.042,0.012,82,353,0.022
T92734,1,159.9,1356.0,0.065,0.012,60,338,0.019
T93568,1,161.3,1382.0,0.049,0.012,78,306,0.019
T98041,1,165.1,1367.0,0.061,0.012,67,363,0.019
T94104,2,155.4,1389.0,0.031,0.012,64,257,0.015
T97265,1,158.8,1393.0,0.031,0.012,69,293,0.018
T97863,1,171.5,1381.0,0.058,0.012,53,293,0.01
T92306,2,174.4,1351.0,0.052,0.012,75,272,0.02
T99154,2,157.3,1332.0,0.054,0.012,78,330,0.018
T91769,1,167.3,1342.0,0.032,0.012,76,257,0.017
T98892,1,161.3,1346.0,0.04,0.012,87,273,0.021
T91860,2,168.5,1445.0,0.033,0.012,59,314,0.014
T98526,1,158.7,,0.023,0.012,76,260,0.015
T98994,2,170.1,1376.0,0.03,0.012,95,352,0.021
T97585,2,164.1,1356.0,0.07,0.012,88,391,0.026
T93568,2,161.6,1393.0,0.032,0.012,85,347,0.021
T94627,1,164.7,1365.0,0.028,0.012,77,311,0.018
T92853,2,175.1,1379.0,0.055,0.012,71,267,0.013
T96864,1,164.3,1385.0,0.05,0.012,72,292,0.018
T96172,1,167.0,1380.0,0.057,0.012,71,274,0.017
T92291,2,165.6,1372.0,0.053,0.012,79,381,0.021
T98554,2,165.7,1345.0,0.031,0.012,81,337,0.019
T91878,2,173.5,1371.0,0.045,0.012,54,311,0.013
T92484,2,170.8,1397.0,0.029,0.012,59,353,0.012
T91391,1,155.5,1389.0,0.033,0.012,58,232,0.011
T97265,1,168.8,1378.0,0.069,0.012,64,309,0.018
T91189,2,176.3,1390.0,0.056,0.012,69,427,0.019
T96463,1,163.4,1340.0,0.059,0.012,72,341,0.021
T91391,2,171.0,1366.0,0.022,0.012,75,224,0.016
T99755,1,145.6,1369.0,0.039,0.012,79,297,0.021
T98849,1,158.2,1343.0,0.048,0.012,72,315,0.02
T99110,1,181.8,1383.0,0.027,0.012,68,358,0.014
T92528,2,170.3,1387.0,0.062,0.012,59,235,0.014
T96855,1,166.5,1374.0,0.027,0.012,63,323,0.016
T91775,1,177.9,1375.0,0.052,0.012,64,296,0.016
T98849,1,157.2,1355.0,0.048,0.012,79,330,0.023
T97439,1,173.9,1355.0,0.062,0.012,76,358,0.018
T92184,2,159.0,1336.0,0.036,0.012,72,349,0.019
T97235,1,165.7,1365.0,0.034,0.012,76,338,0.016
T98208,2,153.6,1355.0,0.062,0.012,67,200,0.015
T97873,2,162.3,1350.0,0.031,0.012,63,264,0.009
T97910,1,174.3,1371.0,0.057,0.012,49,265,0.013
T92853,1,161.4,1361.0,0.03,0.012,64,433,0.022
T98574,2,168.5,1335.0,0.064,0.012,51,339,0.016
T93911,2,161.6,1356.0,0.062,0.012,72,300,0.019
T98994,2,168.0,1367.0,0.059,0.012,57,350,0.016
T92636,1,170.2,1343.0,0.045,0.012,67,282,0.017
T98392,1,160.3,1379.0,0.022,0.012,67,323,0.016
T94696,2,158.9,1372.0,0.027,0.012,43,369,0.012
T98858,2,162.2,1348.0,0.043,0.012,46,354,0.013
T97278,2,162.0,1389.0,0.022,0.012,77,419,0.022
T93612,1,150.8,1405.0,0.023,0.012,70,332,0.016
T93734,1,167.3,1368.0,0.026,0.012,86,325,0.022
T92757,2,167.7,1365.0,0.033,0.012,76,417,0.02
T98849,1,152.4,1362.0,0.057,0.012,63,292,0.016
T96450,2,170.9,1357.0,0.022,0.012,45,451,0.015
T91502,1,162.2,1347.0,0.069,0.012,79,309,0.022
T93790,2,167.3,1373.0,0.034,0.012,87,322,0.02
T94073,1,163.3,1351.0,0.036,0.012,45,334,0.012
T92734,1,167.3,1305.0,0.032,0.012,71,245,0.017
T94157,1,165.8,1421.0,0.05,0.012,67,308,0.014
T99154,1,171.1,1412.0,0.021,0.012,43,275,0.011
T96734,1,165.0,1373.0,0.025,0.012,54,351,0.011
T94152,1,170.3,1338.0,0.025,0.012,74,297,0.017
T99996,1,175.0,1427.0,0.053,0.012,87,318,0.02
T95658,2,164.4,1383.0,0.036,0.012,71,309,0.016
T95859,2,163.2,1361.0,0.042,0.012,70,280,0.02
T94840,2,168.9,1408.0,0.067,0.012,68,364,0.018
T92016,1,150.6,1345.0,0.03,0.012,77,379,0.018
T96535,1,158.9,1318.0,0.024,0.012,64,254,0.012
T93747,1,158.6,1354.0,0.042,0.012,72,304,0.02
T98777,2,168.9,1388.0,0.028,0.012,89,316,0.02
T99838,2,166.1,1427.0,0.027,0.012,56,222,0.01
T91466,2,173.9,1352.0,0.041,0.012,71,327,0.016
T92678,2,173.5,1341.0,0.053,0.012,67,343,0.015
T96855,2,151.3,1371.0,0.032,0.012,65,332,0.015
T94099,2,153.2,1370.0,0.064,0.012,64,304,0.017
T99164,1,165.3,1417.0,0.038,0.012,68,349,0.017
T99800,2,154.2,1376.0,0.067,0.012,68,336,0.02
T94840,1,151.2,1423.0,0.045,0.012,63,241,0.015
T94073,2,159.8,1404.0,0.056,0.012,76,365,0.019
T94157,2,150.4,1393.0,0.062,0.012,65,332,0.019
T97938,1,157.8,1333.0,0.046,0.012,62,376,0.017
T96977,1,170.0,1360.0,0.063,0.012,60,306,0.016
T94304,1,161.6,1376.0,0.039,0.012,78,413,0.024
T91466,2,175.5,1305.0,0.038,0.012,52,344,0.012
T92853,2,161.0,1353.0,0.06,0.012,72,379,0.023
T92986,1,168.9,1362.0,0.032,0.012,75,304,0.019
T97863,2,161.3,1350.0,0.056,0.012,41,359,0.011
T97938,1,163.5,1423.0,0.024,0.012,60,340,0.013
T96134,2,162.3,1382.0,0.052,0.012,81,344,0.02
T94748,2,168.9,1365.0,0.067,0.012,94,365,0.023
T93027,2,170.1,1324.0,0.043,0.012,60,304,0.015
T98574,1,179.4,1357.0,0.041,0.012,59,233,0.011
T98392,2,165.1,1410.0,0.047,0.012,61,382,0.015
T92028,1,168.8,1355.0,0.056,0.012,77,297,0.019
T97863,1,157.8,1360.0,0.038,0.012,71,307,0.017
T91466,1,169.8,1337.0,0.02,0.012,72,324,0.015
T98994,1,165.2,1374.0,0.045,0.012,79,313,0.017
T97287,1,146.4,1378.0,0.041,0.012,89,344,0.023
T93911,1,158.9,1375.0,0.047,0.012,46,201,0.008
T91206,1,150.5,1341.0,0.056,0.012,77,343,0.021
T92528,1,159.8,1383.0,0.034,0.012,83,370,0.022
T91502,1,167.1,1360.0,0.045,0.012,77,321,0.018
T95413,2,162.9,1376.0,0.033,0.012,65,354,0.019
T96675,1,169.3,1390.0,0.043,0.012,84,304,0.018
T96578,2,148.6,1381.0,0.037,0.012,64,280,0.019
T99226,1,171.7,1386.0,0.038,0.012,72,340,0.016
T92484,2,166.7,1387.0,0.049,0.012,56,290,0.013
T98513,2,156.1,1392.0,0.054,0.012,67,285,0.018
T99226,2,164.8,1394.0,0.021,0.012,85,317,0.018
T92707,2,180.3,1400.0,0.064,0.012,82,267,0.02
T93047,2,175.3,1381.0,0.038,0.012,76,350,0.018
T98858,2,176.7,1391.0,0.052,0.012,99,323,0.024
T93062,1,163.5,1374.0,0.026,0.012,80,396,0.02
T97938,1,173.0,1387.0,0.049,0.012,64,259,0.016
T93047,1,174.2,1359.0,0.054,0.012,73,334,0.017
T95413,1,157.7,1326.0,0.028,0.012,72,316,0.017
T99792,1,174.0,1406.0,0.066,0.012,62,372,0.019
T98408,1,172.4,1375.0,0.058,0.012,70,386,0.021
T91064,2,160.3,1374.0,0.047,0.012,71,300,0.015
T99006,1,165.7,1392.0,0.028,0.012,81,320,0.02
T91189,2,174.5,1353.0,0.063,0.012,85,294,0.021
T92028,2,164.6,1367.0,0.023,0.012,54,364,0.012
T99571,2,171.2,1355.0,0.026,0.012,75,353,0.019
T95282,2,161.7,1365.0,0.055,0.012,73,302,0.018
T98916,2,157.3,1360.0,0.033,0.012,84,265,0.021
T95413,2,156.6,1356.0,0.043,0.012,62,294,0.015
T93734,1,163.0,1380.0,0.047,0.012,66,400,0.021
T92757,2,168.1,1323.0,0.043,0.012,73,291,0.019
T98280,2,152.7,1403.0,0.024,0.012,73,295,0.015
T96592,1,178.5,1352.0,0.057,0.012,78,282,0.019
T93027,1,172.5,1382.0,0.032,0.012,83,344,0.023
T95658,1,168.6,,0.057,0.012,67,278,0.019
T99666,1,170.7,1363.0,0.063,0.012,59,359,0.016
T96390,1,160.5,1381.0,0.047,0.012,58,331,0.018
T96056,1,154.7,1343.0,0.055,0.012,86,327,0.022
T98385,1,167.9,1356.0,0.022,0.012,58,360,0.013
T95931,2,172.3,1364.0,0.022,0.012,81,308,0.016
T91860,1,161.5,,0.03,0.012,44,388,0.015
T92021,2,158.4,1362.0,0.038,0.012,77,312,0.021
T97265,1,161.2,1366.0,0.029,0.012,68,262,0.017
T97910,1,168.4,1391.0,0.052,0.012,79,312,0.02
T96855,2,169.2,1380.0,0.034,0.012,67,258,0.014
T92757,1,177.7,1428.0,0.062,0.012,68,379,0.02
T91860,1,168.1,1347.0,0.048,0.012,72,330,0.016
T96134,1,159.2,1338.0,0.039,0.012,56,289,0.014
T91860,1,162.9,1418.0,0.065,0.012,71,356,0.023
T97278,1,157.7,1377.0,0.061,0.012,70,326,0.019
T99004,1,172.7,1403.0,0.061,0.012,89,312,0.023
T92734,1,157.2,1345.0,0.056,0.012,80,278,0.02
T96056,2,161.0,1358.0,0.051,0.012,79,315,0.017
T92930,1,168.4,1373.0,0.038,0.012,72,241,0.016
T93454,2,176.2,1370.0,0.041,0.012,79,393,0.022
T96134,2,185.0,1368.0,0.052,0.012,50,246,0.011
T97265,2,155.6,1330.0,0.029,0.012,80,358,0.02
T92678,2,169.5,1367.0,0.061,0.012,60,281,0.016
T92028,2,164.8,1379.0,0.067,0.012,54,317,0.015
T95413,2,163.3,,0.025,0.012,68,365,0.016
T96232,2,163.0,1395.0,0.021,0.012,76,377,0.017
T98270,1,156.4,1395.0,0.027,0.012,102,422,0.025
T92267,1,176.7,1375.0,0.058,0.012,45,383,0.014
T99433,1,150.4,1352.0,0.025,0.012,62,293,0.013
T98734,2,164.0,1379.0,0.039,0.012,71,289,0.016
T92986,1,175.5,1382.0,0.023,0.012,63,346,0.013
T97420,2,166.6,1372.0,0.042,0.012,101,327,0.026
T97892,2,160.3,1351.0,0.05,0.012,76,309,0.017
T95426,1,160.6,1391.0,0.051,0.012,67,262,0.016
T97873,2,171.2,1381.0,0.046,0.012,55,332,0.016
T93612,2,162.9,1360.0,0.067,0.012,62,304,0.017
T99996,1,164.8,1374.0,0.047,0.012,78,376,0.02
T92663,2,169.4,1347.0,0.063,0.012,62,393,0.02
T99755,1,171.5,1323.0,0.07,0.012,78,258,0.021
T97736,2,161.1,1332.0,0.031,0.012,76,315,0.018
T94696,2,155.4,1377.0,0.033,0.012,74,307,0.017
T93911,1,158.0,1363.0,0.046,0.012,76,329,0.023
T95389,1,174.7,1380.0,0.029,0.012,79,303,0.021
T92021,1,165.5,1391.0,0.048,0.012,68,358,0.018
T93695,2,156.3,,0.054,0.012,67,294,0.018
T93047,2,158.5,1354.0,0.023,0.012,68,367,0.018
T97863,1,173.2,1380.0,0.054,0.012,53,309,0.015
T99800,1,165.6,1360.0,0.028,0.012,84,352,0.021
T99004,1,153.3,,0.035,0.012,51,260,0.013
T96791,2,157.3,,0.057,0.012,47,313,0.012
T92495,2,173.1,1384.0,0.028,0.012,91,349,0.02
T98099,1,161.0,1360.0,0.047,0.012,82,329,0.019
T99666,1,179.7,1350.0,0.049,0.012,68,260,0.015
T98392,1,178.4,1405.0,0.028,0.012,88,332,0.02
T95931,2,175.4,1369.0,0.034,0.012,64,200,0.012
T95426,1,168.5,1341.0,0.05,0.012,83,233,0.016
T99792,1,172.2,1359.0,0.043,0.012,66,311,0.015
T94696,1,164.6,1326.0,0.053,0.012,76,260,0.017
T94152,2,164.8,1305.0,0.063,0.012,70,322,0.016
T98099,2,156.6,1394.0,0.027,0.012,51,244,0.009
T96393,1,164.7,1348.0,0.024,0.012,62,419,0.017
T96450,2,156.1,1340.0,0.053,0.012,65,282,0.016
T92021,1,165.0,1356.0,0.059,0.012,73,382,0.02
T95737,1,156.5,1362.0,0.042,0.012,70,325,0.02
T94099,1,158.9,1355.0,0.04,0.012,49,322,0.015
T99433,1,147.1,1347.0,0.05,0.012,60,306,0.016
T92528,2,159.5,1369.0,0.048,0.012,85,367,0.025
T98215,1,160.0,1364.0,0.045,0.012,66,353,0.013
T91064,1,162.8,1412.0,0.061,0.012,53,317,0.013
T92678,2,173.3,1361.0,0.029,0.012,82,326,0.015
T97420,1,164.6,1369.0,0.054,0.012,67,388,0.02
T98280,2,171.5,1347.0,0.057,0.012,80,321,0.02
T96535,1,171.8,1386.0,0.065,0.012,61,317,0.018
T91206,1,174.9,1412.0,0.067,0.012,60,268,0.013
T98555,1,158.7,1368.0,0.045,0.012,59,326,0.017
T93790,1,156.7,1354.0,0.042,0.012,71,322,0.018
T96578,2,164.2,1375.0,0.045,0.012,94,376,0.024
T92267,1,157.7,1382.0,0.057,0.012,64,343,0.018
T92930,2,163.4,1442.0,0.021,0.012,72,348,0.016
T98721,2,158.4,1366.0,0.029,0.012,94,382,0.02
T91663,2,156.5,1361.0,0.065,0.012,70,269,0.018
T91197,1,167.5,1341.0,0.03,0.012,57,349,0.016
T96258,2,178.1,1363.0,0.031,0.012,69,243,0.018
T92986,2,163.2,1359.0,0.067,0.012,72,231,0.019
T99322,2,166.9,1384.0,0.035,0.012,57,290,0.012
T97265,1,165.5,1363.0,0.035,0.012,64,303,0.016
T92484,1,164.8,1345.0,0.066,0.012,60,230,0.016
T96116,2,175.0,1344.0,0.039,0.012,94,278,0.022
T97776,2,163.1,1359.0,0.045,0.012,54,297,0.014
T97439,1,142.3,1389.0,0.048,0.012,62,279,0.015
T94385,2,158.9,1374.0,0.063,0.012,51,370,0.017
T97873,2,165.7,1382.0,0.024,0.012,60,359,0.014
T98099,2,164.3,1370.0,0.033,0.012,66,307,0.015
T96450,1,163.4,1380.0,0.049,0.012,77,347,0.02
T99322,2,161.4,1361.0,0.042,0.012,79,330,0.019
T98721,2,165.6,1348.0,0.034,0.012,64,236,0.015
T98098,1,179.4,1349.0,0.04,0.012,74,378,0.018
T98392,2,162.7,1348.0,0.068,0.012,45,350,0.016
T91769,1,180.1,1402.0,0.021,0.012,72,294,0.014
T96592,1,168.3,1394.0,0.027,0.012,63,421,0.018
T94304,1,160.3,1359.0,0.021,0.012,67,285,0.011
T94510,2,171.1,1374.0,0.05,0.012,82,276,0.018
T94510,2,148.0,1387.0,0.021,0.012,66,361,0.017
T92685,2,164.9,1355.0,0.043,0.012,78,289,0.02
T99800,2,168.6,1367.0,0.063,0.012,47,342,0.013
T93790,2,168.7,1346.0,0.025,0.012,71,205,0.012
T91698,2,169.5,1348.0,0.038,0.012,90,333,0.022
T99792,2,170.1,1387.0,0.039,0.012,65,322,0.018
T94073,2,167.1,1372.0,0.038,0.012,56,365,0.016
T98989,1,170.1,1371.0,0.056,0.012,79,264,0.018
T92028,2,161.1,1398.0,0.02,0.012,78,353,0.018
T95636,2,173.2,1359.0,0.059,0.012,76,312,0.017
T98989,1,161.8,1388.0,0.062,0.012,45,344,0.013
T93790,2,173.1,1349.0,0.042,0.012,62,311,0.017
T94157,1,164.9,1360.0,0.064,0.012,60,308,0.015
T95658,2,166.5,1352.0,0.039,0.012,67,313,0.017
T91769,2,171.2,1350.0,0.055,0.012,56,315,0.013
T94556,1,175.5,1414.0,0.039,0.012,77,221,0.013
T96276,1,165.3,1338.0,0.022,0.012,74,315,0.017
T99958,2,166.5,1353.0,0.024,0.012,94,278,0.019
T94581,1,146.9,1319.0,0.042,0.012,77,319,0.019
T99110,2,158.9,1357.0,0.07,0.012,60,408,0.018
T97736,2,154.4,1365.0,0.029,0.012,62,379,0.018
T97546,2,162.2,1391.0,0.065,0.012,84,342,0.022
T98555,2,160.3,1357.0,0.066,0.012,45,240,0.012
T99006,2,159.5,1341.0,0.04,0.012,55,277,0.013
T94627,2,157.8,1357.0,0.043,0.012,76,295,0.019
T99666,1,168.7,1377.0,0.045,0.012,78,365,0.021
T99684,1,152.5,1389.0,0.059,0.012,69,344,0.021
T93931,1,157.4,1354.0,0.026,0.012,66,389,0.017
T96675,2,165.2,1346.0,0.036,0.012,63,345,0.016
T97278,1,171.8,1360.0,0.029,0.012,61,354,0.014
T93511,2,158.5,1379.0,0.064,0.012,67,337,0.019
T94840,1,172.4,1390.0,0.024,0.012,92,331,0.02
T92306,2,145.9,1344.0,0.057,0.012,40,237,0.011
T91466,2,165.0,1352.0,0.042,0.012,58,298,0.013
T94242,2,167.1,,0.056,0.012,90,361,0.022
T94843,2,158.1,1319.0,0.064,0.012,81,396,0.024
T91502,2,155.8,1342.0,0.037,0.012,53,300,0.013
T98629,1,165.9,1345.0,0.031,0.012,67,369,0.017
T94561,2,164.8,1358.0,0.053,0.012,79,292,0.019
T99996,1,159.3,1378.0,0.07,0.012,82,301,0.021
T96276,2,163.0,1368.0,0.056,0.012,58,209,0.016
T99004,2,160.8,1377.0,0.06,0.012,61,383,0.016
T98408,2,173.8,1393.0,0.051,0.012,57,336,0.013
T94890,1,169.8,1376.0,0.038,0.012,66,286,0.015
T96892,2,166.4,1365.0,0.053,0.012,75,408,0.022
T92495,1,178.2,1381.0,0.026,0.012,85,315,0.016
T96172,2,172.2,1323.0,0.044,0.012,53,390,0.015
T96575,1,173.7,1364.0,0.049,0.012,82,251,0.018
T92059,1,176.1,1386.0,0.065,0.012,72,379,0.022
T97776,1,163.9,1366.0,0.066,0.012,67,368,0.02
T94581,2,156.5,1376.0,0.023,0.012,99,316,0.021
T97278,2,152.5,1365.0,0.052,0.012,90,300,0.02
T98035,1,170.2,1385.0,0.06,0.012,48,280,0.01
T93734,2,158.2,1392.0,0.047,0.012,90,375,0.02
T92930,2,188.3,1317.0,0.025,0.012,70,285,0.013
T96232,2,159.1,1353.0,0.032,0.012,53,205,0.005
T98526,1,157.9,1319.0,0.036,0.012,85,379,0.022
T92267,1,170.4,1271.0,0.053,0.012,85,335,0.023
T94385,2,170.6,1385.0,0.023,0.012,70,308,0.017
T97528,1,177.6,1390.0,0.047,0.012,75,304,0.016
T92306,2,163.3,1357.0,0.025,0.012,71,441,0.018
T96056,2,173.1,1353.0,0.04,0.012,68,306,0.018
T93558,1,163.9,1366.0,0.041,0.012,89,302,0.02
T92734,1,168.8,1440.0,0.043,0.012,66,304,0.015
T96977,2,163.5,1344.0,0.056,0.012,86,285,0.02
T93433,2,178.4,1336.0,0.024,0.012,76,301,0.016
T97184,2,180.9,1385.0,0.033,0.012,55,336,0.012
T94304,1,156.7,1386.0,0.052,0.012,68,297,0.017
T96276,1,173.9,1380.0,0.067,0.012,69,228,0.015
T96258,2,158.5,,0.051,0.012,63,251,0.013
T95488,2,173.1,1362.0,0.064,0.012,64,349,0.018
T92899,1,176.5,1333.0,0.068,0.012,77,260,0.021
T97019,2,158.3,1417.0,0.064,0.012,80,341,0.02
T97910,1,156.4,1418.0,0.069,0.012,77,382,0.021
T92021,1,161.5,1358.0,0.059,0.012,72,347,0.017
T96915,2,173.2,,0.064,0.012,65,326,0.017
T97776,2,168.3,1379.0,0.045,0.012,65,322,0.018
T92853,1,163.3,1326.0,0.037,0.012,73,326,0.017
T98041,2,170.0,1328.0,0.07,0.012,78,316,0.025
T96892,1,163.0,1389.0,0.025,0.012,89,261,0.017
T92484,1,165.9,1402.0,0.068,0.012,74,312,0.018
T93731,1,168.8,1379.0,0.042,0.012,78,364,0.016
T91775,2,168.3,,0.021,0.012,51,374,0.013
T95887,2,176.8,1348.0,0.06,0.012,48,308,0.015
T91854,2,156.6,1342.0,0.042,0.012,62,344,0.016
T97863,1,171.6,,0.06,0.012,76,340,0.02
T98629,1,158.4,1371.0,0.022,0.012,63,325,0.015
T95488,1,162.2,1367.0,0.069,0.012,43,328,0.012
T99164,1,163.9,1401.0,0.054,0.012,67,329,0.019
T99838,2,162.0,1412.0,0.022,0.012,90,316,0.015
T98408,2,155.6,1385.0,0.02,0.012,84,319,0.021
T96618,2,161.8,1347.0,0.05,0.012,52,356,0.015
T97892,1,166.9,1371.0,0.069,0.012,69,279,0.018
T96450,1,164.1,1359.0,0.046,0.012,65,254,0.013
T98555,2,175.3,1367.0,0.038,0.012,67,284,0.015
T97184,1,164.2,1340.0,0.067,0.012,75,308,0.02
T92267,2,165.1,1401.0,0.069,0.012,67,321,0.017
